ID,CN_Key,CN_Code,Name
7,010100000080,0101,"Live horses, asses, mules and hinnies"
15,010200000080,0102,Live bovine animals
51,010300000080,0103,Live swine
62,010400000080,0104,Live sheep and goats
71,010500000080,0105,"Live poultry, that is to say, fowls of the sp"
91,010600000080,0106,Other live animals
113,020100000080,0201,"Meat of bovine animals, fresh or chilled"
121,020200000080,0202,"Meat of bovine animals, frozen"
132,020300000080,0203,"Meat of swine, fresh, chilled or frozen"
169,020400000080,0204,"Meat of sheep or goats, fresh, chilled or fro"
210,020600000080,0206,"Edible offal of bovine animals, swine, sheep,"
238,020700000080,0207,"Meat and edible offal, of the poultry of head"
402,020800000080,0208,"Other meat and edible meat offal, fresh, chil"
419,020900000080,0209,"Pig fat, free of lean meat, and poultry fat,"
426,021000000080,0210,"Meat and edible meat offal, salted, in brine,"
491,030100000080,0301,Live fish
513,030200000080,0302,"Fish, fresh or chilled, excluding fish fillet"
636,030300000080,0303,"Fish, frozen, excluding fish fillets and othe"
770,030400000080,0304,Fish fillets and other fish meat (whether or
913,030500000080,0305,"Fish, dried, salted or in brine; smoked fish,"
968,030600000080,0306,"Crustaceans, whether in shell or not, live, f"
1038,030700000080,0307,"Molluscs, whether in shell or not, live, fres"
1111,030800000080,0308,Aquatic invertebrates other than crustaceans
1129,040100000080,0401,"Milk and cream, not concentrated nor containi"
1153,040200000080,0402,"Milk and cream, concentrated or containing ad"
1196,040300000080,0403,"Buttermilk, curdled milk and cream, yogurt, k"
1245,040400000080,0404,"Whey, whether or not concentrated or containi"
1294,040500000080,0405,Butter and other fats and oils derived from m
1310,040600000080,0406,Cheese and curd
1368,040700000080,0407,"Birds' eggs, in shell, fresh, preserved or co"
1384,040800000080,0408,"Birds' eggs, not in shell, and egg yolks, fre"
1405,050200000080,0502,"Pigs', hogs' or boars' bristles and hair; bad"
1409,050500000080,0505,"Skins and other parts of birds, with their fe"
1414,050600000080,0506,"Bones and horn-cores, unworked, defatted, sim"
1417,050700000080,0507,"Ivory, tortoiseshell, whalebone and whalebone"
1422,051100000080,0511,Animal products not elsewhere specified or in
1436,060100000080,0601,"Bulbs, tubers, tuberous roots, corms, crowns"
1447,060200000080,0602,"Other live plants (including their roots), cu"
1481,060300000080,0603,Cut flowers and flower buds of a kind suitabl
1493,060400000080,0604,"Foliage, branches and other parts of plants,"
1509,070100000080,0701,"Potatoes, fresh or chilled"
1517,070300000080,0703,"Onions, shallots, garlic, leeks and other all"
1525,070400000080,0704,"Cabbages, cauliflowers, kohlrabi, kale and si"
1531,070500000080,0705,Lettuce (Lactuca sativa) and chicory (Cichori
1538,070600000080,0706,"Carrots, turnips, salad beetroot, salsify, ce"
1547,070800000080,0708,"Leguminous vegetables, shelled or unshelled,"
1551,070900000080,0709,"Other vegetables, fresh or chilled"
1584,071000000080,0710,Vegetables (uncooked or cooked by steaming or
1605,071100000080,0711,Vegetables provisionally preserved (for examp
1621,071200000080,0712,"Dried vegetables, whole, cut, sliced, broken"
1636,071300000080,0713,"Dried leguminous vegetables, shelled, whether"
1654,071400000080,0714,"Manioc, arrowroot, salep, Jerusalem artichoke"
1666,080100000080,0801,"Coconuts, Brazil nuts and cashew nuts, fresh"
1677,080200000080,0802,"Other nuts, fresh or dried, whether or not sh"
1706,080300000080,0803,"Bananas, including plantains, fresh or dried"
1713,080400000080,0804,"Dates, figs, pineapples, avocados, guavas, ma"
1721,080500000080,0805,"Citrus fruit, fresh or dried"
1739,080600000080,0806,"Grapes, fresh or dried"
1747,080700000080,0807,Melons (including watermelons) and papaws (pa
1752,080800000080,0808,"Apples, pears and quinces, fresh"
1760,080900000080,0809,"Apricots, cherries, peaches (including nectar"
1771,081000000080,0810,"Other fruit, fresh"
1791,081100000080,0811,"Fruit and nuts, uncooked or cooked by steamin"
1823,081200000080,0812,"Fruit and nuts, provisionally preserved (for"
1831,081300000080,0813,"Fruit, dried, other than that of headings 080"
1855,090100000080,0901,"Coffee, whether or not roasted or decaffeinat"
1865,090200000080,0902,"Tea, whether or not flavoured"
1871,090400000080,0904,Pepper of the genus Piper; dried or crushed o
1880,090500000080,0905,Vanilla
1883,090600000080,0906,Cinnamon and cinnamon-tree flowers
1888,090700000080,0907,"Cloves (whole fruit, cloves and stems)"
1891,090800000080,0908,"Nutmeg, mace and cardamoms"
1901,090900000080,0909,"Seeds of anise, badian, fennel, coriander, cu"
1911,091000000080,0910,"Ginger, saffron, turmeric (curcuma), thyme, b"
1937,100100000080,1001,Wheat and meslin
1947,100200000080,1002,Rye
1950,100300000080,1003,Barley
1953,100400000080,1004,Oats
1956,100500000080,1005,Maize (corn)
1964,100600000080,1006,Rice
2014,100700000080,1007,Grain sorghum
2019,100800000080,1008,"Buckwheat, millet and canary seed; other cere"
2035,110200000080,1102,Cereal flours other than of wheat or meslin
2045,110300000080,1103,"Cereal groats, meal and pellets"
2065,110400000080,1104,"Cereal grains otherwise worked (for example,"
2107,110500000080,1105,"Flour, meal, powder, flakes, granules and pel"
2110,110600000080,1106,"Flour, meal and powder of the dried leguminou"
2118,110700000080,1107,"Malt, whether or not roasted"
2127,110800000080,1108,Starches; inulin
2139,120100000080,1201,"Soya beans, whether or not broken"
2142,120200000080,1202,"Groundnuts, not roasted or otherwise cooked,"
2151,120500000080,1205,"Rape or colza seeds, whether or not broken"
2161,120700000080,1207,"Other oil seeds and oleaginous fruits, whethe"
2184,120800000080,1208,Flours and meals of oil seeds or oleaginous f
2187,120900000080,1209,"Seeds, fruit and spores, of a kind used for s"
